Timestamp,Milliseconds,X,Y,Z
2022-12-18 15:43:13,0,-0.191,0.545,11.032
2022-12-18 15:43:14,501,0.325,1.834,9.37
2022-12-18 15:43:14,1000,0.598,0.802,7.598
2022-12-18 15:43:15,1500,-3.531,3.304,15.894
2022-12-18 15:43:15,2001,-2.188,1.857,4.175
2022-12-18 15:43:16,2500,-1.807,2.233,12.538
2022-12-18 15:43:16,3000,2.238,5.748,7.903
2022-12-18 15:43:17,3500,-6.37,9.385,11.314
2022-12-18 15:43:17,4000,13.433,-12.375,4.809
2022-12-18 15:43:18,4501,-8.077,18.382,-4.235
2022-12-18 15:43:18,5000,-1.963,0.84,9.801
2022-12-18 15:43:19,5500,0.524,-1.568,16.622
2022-12-18 15:43:19,6000,-1.431,1.271,16.426
2022-12-18 15:43:20,6501,1.587,1.711,-0.16
2022-12-18 15:43:20,7000,-0.574,1.625,0.923
2022-12-18 15:43:21,7500,-4.769,-4.175,17.846
2022-12-18 15:43:21,8000,7.288,0.237,-0.095
2022-12-18 15:43:22,8501,-7.666,7.034,10.448
2022-12-18 15:43:22,9000,1.656,8.355,4.627
2022-12-18 15:43:23,9500,10.941,0.227,-2.274
2022-12-18 15:43:23,10000,-2.604,15.995,14.685
2022-12-18 15:43:24,10501,9.435,-6.548,7.749
2022-12-18 15:43:24,11000,3.881,-12.962,3.028
2022-12-18 15:43:25,11500,2.514,5.427,-17.216
2022-12-18 15:43:25,12000,-9.605,2.913,-1.376
2022-12-18 15:43:26,12501,-2.753,-3.847,18.38
2022-12-18 15:43:26,13000,0.632,4.927,-4.091
2022-12-18 15:43:27,13500,-1.58,-0.912,16.05
2022-12-18 15:43:27,14000,-2.341,3.835,14.367
2022-12-18 15:43:28,14501,1.836,1.582,2.925
2022-12-18 15:43:28,15000,-0.629,-4.414,21.324
2022-12-18 15:43:29,15500,1.379,2.511,1.843
2022-12-18 15:43:29,16000,3.024,1.446,10.883
2022-12-18 15:43:30,16500,0.557,0.847,-1.726
2022-12-18 15:43:30,17001,-1.467,1.307,10.967
2022-12-18 15:43:31,17500,3.021,0.871,5.286
2022-12-18 15:43:31,18000,1.221,-2.473,16.514
2022-12-18 15:43:32,18500,0.335,-1.529,11.482
2022-12-18 15:43:32,19001,-3.483,4.795,17.271
2022-12-18 15:43:33,19500,-1.764,2.822,16.424
2022-12-18 15:43:33,20000,2.262,6.746,6.863
2022-12-18 15:43:34,20500,-3.392,3.323,12.32
2022-12-18 15:43:34,21000,-3.028,2.868,13.194
2022-12-18 15:43:35,21501,4.86,-3.074,4.424
2022-12-18 15:43:35,22000,1.451,-1.697,-3.198
2022-12-18 15:43:36,22500,-1.443,-2.446,6.432
2022-12-18 15:43:36,23000,-2.171,2.171,10.627
2022-12-18 15:43:37,23501,-0.165,0.062,14.115
2022-12-18 15:43:37,24000,-3.627,-3.136,13.127
2022-12-18 15:43:38,24500,0.775,-0.955,15.08
2022-12-18 15:43:38,25000,0.79,1.915,15.621
2022-12-18 15:43:39,25500,-1.565,-0.864,7.642
2022-12-18 15:43:39,26000,-0.102,5.059,7.357
2022-12-18 15:43:40,26500,1.197,4.146,10.598
2022-12-18 15:43:40,27000,-2.185,-0.835,10.618
2022-12-18 15:43:41,27501,-1.038,3.17,9.772
2022-12-18 15:43:41,28000,-2.592,-1.158,9.801
2022-12-18 15:43:42,28500,0.881,-0.028,9.526
2022-12-18 15:43:42,29000,-2.748,3.933,11.25
2022-12-18 15:43:43,29501,-1.97,0.184,11.676
2022-12-18 15:43:43,30000,-0.517,-0.349,11.415
2022-12-18 15:43:44,30500,-0.586,-0.497,9.449
2022-12-18 15:43:44,31000,2.073,6.39,8.149
2022-12-18 15:43:45,31500,1.079,-0.069,12.531
2022-12-18 15:43:45,32001,-1.68,0.706,19.043
2022-12-18 15:43:46,32500,-1.079,0.421,8.372
2022-12-18 15:43:46,33000,2.078,1.702,-0.866
2022-12-18 15:43:47,33501,0.557,-3.792,11.599
2022-12-18 15:43:47,34000,-2.446,5.324,23.625
2022-12-18 15:43:48,34500,-6.148,6.89,22.804
2022-12-18 15:43:48,35000,-2.377,2.614,12.361
2022-12-18 15:43:49,35501,0.847,0.749,4.309
2022-12-18 15:43:49,36000,-0.323,1.585,11.705
2022-12-18 15:43:50,36500,1.862,-0.825,8.906
2022-12-18 15:43:50,37000,1.087,0.335,10.742
2022-12-18 15:43:51,37500,0.17,-0.368,8.017
2022-12-18 15:43:51,38001,1.925,2.549,11.075
2022-12-18 15:43:52,38500,2.619,8.652,9.373
2022-12-18 15:43:52,39000,2.051,3.957,10.713
2022-12-18 15:43:53,39500,-1.826,4.85,11.568
2022-12-18 15:43:53,40001,-0.751,5.741,7.146
2022-12-18 15:43:54,40500,0.028,-6.081,9.502
